"CPUBID","MPUBID","MS860140","MS860141","MS880257","MS880258","MS900321","MS920321","MS940329","MS960327","MS981A18","HOME-A18","HOME-A18","HOME-A18","MS-HOME-A18","MS-HOME-A18","MS-HOME-A18","MS-HOME-A18","VERSION_R26"
201,2,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
202,2,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,458
301,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
302,3,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
303,3,-7,-7,1,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
401,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
403,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
801,8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
802,8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
803,8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
1001,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
1002,10,-7,-7,1,2,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
1201,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
1202,12,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
1601,16,-7,-7,-7,-7,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
1602,16,-7,-7,-7,-7,-7,-7,0,0,-7,-7,-7,-7,-7,-7,-7,-7,458
1603,16,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,458
1901,19,-7,-7,0,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
2001,20,-7,-7,-7,-7,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
2501,25,-7,-7,-7,-7,-7,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
2502,25,-7,-7,-7,-7,-7,-7,0,0,-7,-7,-7,-7,-7,-7,-7,-7,458
2701,27,-7,-7,0,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
2702,27,-7,-7,-7,-7,-7,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
3001,30,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
3002,30,-7,-7,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
3003,30,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
3501,35,-7,-7,-7,-7,0,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
3502,35,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
3701,37,-7,-7,-7,-7,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
4301,43,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
4302,43,-7,-7,-7,-7,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
4303,43,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,458
4304,43,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,-7,-7,-7,-7,-7,458
4401,44,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
4402,44,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
4601,46,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,458
